team_abbrev,home_away,stint_number,change_type,change_summary,players_in,players_out,previous_lineup,new_lineup,new_lineup_id,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,duration_minutes,start_elapsed_minutes,end_elapsed_minutes,start_game_clock_label,end_game_clock_label,start_home_score,start_away_score,end_home_score,end_away_score,points_for,points_against,plus_minus
TOR,home,18,Substitution,IN: Marina Mabrey / OUT: Kia Nurse,Marina Mabrey,Kia Nurse,Brittney Sykes | Julie Allemand | Kia Nurse | Nyara Sabally | Teonni Key,Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Teonni Key,Brittney Sykes || Julie Allemand || Marina Mabrey || Nyara Sabally || Teonni Key,1078.0,1127.0,49.0,0.8166666666666667,17.966666666666665,18.783333333333335,Q2 2:02,Q2 1:13,28.0,32.0,30.0,35.0,2.0,3.0,-1.0
TOR,home,19,Substitution,IN: Kiki Rice / OUT: Brittney Sykes,Kiki Rice,Brittney Sykes,Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Teonni Key,Julie Allemand | Kiki Rice | Marina Mabrey | Nyara Sabally | Teonni Key,Julie Allemand || Kiki Rice || Marina Mabrey || Nyara Sabally || Teonni Key,1127.0,1200.0,73.0,1.2166666666666666,18.783333333333335,20.0,Q2 1:13,Q3 10:00,30.0,35.0,30.0,37.0,0.0,2.0,-2.0
TOR,home,20,Substitution,IN: Brittney Sykes / OUT: Kiki Rice,Brittney Sykes,Kiki Rice,Julie Allemand | Kiki Rice | Marina Mabrey | Nyara Sabally | Teonni Key,Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Teonni Key,Brittney Sykes || Julie Allemand || Marina Mabrey || Nyara Sabally || Teonni Key,1200.0,1481.0,281.0,4.683333333333334,20.0,24.683333333333334,Q3 10:00,Q3 5:19,30.0,37.0,38.0,44.0,8.0,7.0,1.0
TOR,home,21,Substitution,"IN: Maria Conde, Mariella Fasoula / OUT: Nyara Sabally, Teonni Key","Maria Conde, Mariella Fasoula","Nyara Sabally, Teonni Key",Brittney Sykes | Julie Allemand | Marina Mabrey | Nyara Sabally | Teonni Key,Brittney Sykes | Julie Allemand | Maria Conde | Mariella Fasoula | Marina Mabrey,Brittney Sykes || Julie Allemand || Maria Conde || Mariella Fasoula || Marina Mabrey,1481.0,1506.0,25.0,0.4166666666666667,24.683333333333334,25.1,Q3 5:19,Q3 4:54,38.0,44.0,38.0,44.0,0.0,0.0,0.0
TOR,home,22,Substitution,IN: Kiki Rice / OUT: Brittney Sykes,Kiki Rice,Brittney Sykes,Brittney Sykes | Julie Allemand | Maria Conde | Mariella Fasoula | Marina Mabrey,Julie Allemand | Kiki Rice | Maria Conde | Mariella Fasoula | Marina Mabrey,Julie Allemand || Kiki Rice || Maria Conde || Mariella Fasoula || Marina Mabrey,1506.0,1561.0,55.0,0.9166666666666666,25.1,26.016666666666666,Q3 4:54,Q3 3:59,38.0,44.0,39.0,47.0,1.0,3.0,-2.0
TOR,home,23,Substitution,IN: Temi Fagbenle / OUT: Mariella Fasoula,Temi Fagbenle,Mariella Fasoula,Julie Allemand | Kiki Rice | Maria Conde | Mariella Fasoula | Marina Mabrey,Julie Allemand | Kiki Rice | Maria Conde | Marina Mabrey | Temi Fagbenle,Julie Allemand || Kiki Rice || Maria Conde || Marina Mabrey || Temi Fagbenle,1561.0,1607.0,46.0,0.7666666666666667,26.016666666666666,26.783333333333335,Q3 3:59,Q3 3:13,39.0,47.0,39.0,47.0,0.0,0.0,0.0
TOR,home,24,Substitution,IN: Brittney Sykes / OUT: Julie Allemand,Brittney Sykes,Julie Allemand,Julie Allemand | Kiki Rice | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes | Kiki Rice | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes || Kiki Rice || Maria Conde || Marina Mabrey || Temi Fagbenle,1607.0,1748.9,141.9000000000001,2.3650000000000015,26.783333333333335,29.148333333333333,Q3 3:13,Q3 0:51,39.0,47.0,43.0,50.0,4.0,3.0,1.0
TOR,home,25,Substitution,"IN: Kia Nurse, Laura Juskaite, Nyara Sabally / OUT: Maria Conde, Marina Mabrey, Temi Fagbenle","Kia Nurse, Laura Juskaite, Nyara Sabally","Maria Conde, Marina Mabrey, Temi Fagbenle",Brittney Sykes | Kiki Rice | Maria Conde | Marina Mabrey | Temi Fagbenle,Brittney Sykes | Kia Nurse | Kiki Rice | Laura Juskaite | Nyara Sabally,Brittney Sykes || Kia Nurse || Kiki Rice || Laura Juskaite || Nyara Sabally,1748.9,1800.0,51.09999999999991,0.8516666666666651,29.148333333333333,30.0,Q3 0:51,Q4 10:00,43.0,50.0,47.0,51.0,4.0,1.0,3.0
TOR,home,27,Substitution,"IN: Julie Allemand, Marina Mabrey / OUT: Brittney Sykes, Kia Nurse","Julie Allemand, Marina Mabrey","Brittney Sykes, Kia Nurse",Brittney Sykes | Kia Nurse | Kiki Rice | Laura Juskaite | Nyara Sabally,Julie Allemand | Kiki Rice | Laura Juskaite | Marina Mabrey | Nyara Sabally,Julie Allemand || Kiki Rice || Laura Juskaite || Marina Mabrey || Nyara Sabally,1932.0,1981.0,49.0,0.8166666666666667,32.2,33.016666666666666,Q4 7:48,Q4 6:59,49.0,51.0,49.0,53.0,0.0,2.0,-2.0
TOR,home,29,Substitution,IN: Temi Fagbenle / OUT: Nyara Sabally,Temi Fagbenle,Nyara Sabally,Julie Allemand | Kiki Rice | Laura Juskaite | Marina Mabrey | Nyara Sabally,Julie Allemand | Kiki Rice | Laura Juskaite | Marina Mabrey | Temi Fagbenle,Julie Allemand || Kiki Rice || Laura Juskaite || Marina Mabrey || Temi Fagbenle,2012.0,2045.0,33.0,0.55,33.53333333333333,34.083333333333336,Q4 6:28,Q4 5:55,49.0,54.0,49.0,54.0,0.0,0.0,0.0
